,link,name,place,level,pay,form,places,min
0,p20230731112014_1_l3_p1_f1_s19,24.03.04 Авиастроение,МАИ,Базовое высшее образование,Бюджет,очная,28,248
1,p20230731112014_1_l3_p1_f1_s20,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",МАИ,Базовое высшее образование,Бюджет,очная,139,217
2,p20230731112014_1_l3_p1_f1_s21,24.05.02 Проектирование авиационных и ракетных двигателей,МАИ,Базовое высшее образование,Бюджет,очная,116,212
3,p20230731112014_1_l3_p1_f1_s22,24.05.05 Интегрированные системы летательных аппаратов,МАИ,Базовое высшее образование,Бюджет,очная,128,210
4,p20230731112014_1_l3_p1_f1_s23,24.05.06 Системы управления летательными аппаратами,МАИ,Базовое высшее образование,Бюджет,очная,117,211
5,p20230731112014_1_l3_p1_f1_s24,24.05.07 Самолето-вертолетостроение,МАИ,Базовое высшее образование,Бюджет,очная,180,223
6,p20230731112014_1_l1_p1_f1_s1,01.03.00 Компьютерные науки и прикладная математика,МАИ,Бакалавриат,Бюджет,очная,176,244
7,p20230731112014_1_l1_p1_f1_s2,02.03.02 Фундаментальная информатика и информационные технологии,МАИ,Бакалавриат,Бюджет,очная,88,251
8,p20230731112014_1_l1_p1_f1_s3,05.03.06 Экология и природопользование,МАИ,Бакалавриат,Бюджет,очная,22,182
9,p20230731112014_1_l1_p1_f1_s4,09.03.01 Информатика и вычислительная техника,МАИ,Бакалавриат,Бюджет,очная,117,238
10,p20230731112014_1_l1_p1_f1_s5,09.03.02 Информационные системы и технологии,МАИ,Бакалавриат,Бюджет,очная,47,240
11,p20230731112014_1_l1_p1_f1_s6,09.03.03 Прикладная информатика,МАИ,Бакалавриат,Бюджет,очная,43,242
12,p20230731112014_1_l1_p1_f1_s7,09.03.04 Программная инженерия,МАИ,Бакалавриат,Бюджет,очная,20,262
13,p20230731112014_1_l1_p1_f1_s8,10.03.01 Информационная безопасность,МАИ,Бакалавриат,Бюджет,очная,31,243
14,p20230731112014_1_l1_p1_f1_s10,11.03.01 Радиотехника,МАИ,Бакалавриат,Бюджет,очная,56,202
15,p20230731112014_1_l1_p1_f1_s11,11.03.02 Инфокоммуникационные технологии и системы связи,МАИ,Бакалавриат,Бюджет,очная,52,225
16,p20230731112014_1_l1_p1_f1_s12,11.03.03 Конструирование и технология электронных средств,МАИ,Бакалавриат,Бюджет,очная,52,205
17,p20230731112014_1_l1_p1_f1_s14,12.03.04 Биотехнические системы и технологии,МАИ,Бакалавриат,Бюджет,очная,106,197
